County,Population
Adams,527575
Alamosa,16592
Arapahoe,655808
Archuleta,14003
Baca,3432
Bent,5399
Boulder,327468
Broomfield,76121
Chaffee,20223
Cheyenne,1732
Clear Creek,9355
Conejos,7579
Costilla,3603
Crowley,5614
Custer,5335
Delta,31602
Denver,713252
Dolores,2455
Douglas,375988
Eagle,55285
El Paso,740567
Elbert,27799
Fremont,49621
Garfield,62271
Gilpin,5891
Grand,15769
Gunnison,17267
Huerfano,7082
Jackson,1302
Jefferson,576143
Kiowa,1424
Kit Carson,6961
La Plata,56607
Lake,7327
Larimer,366778
Las Animas,14327
Lincoln,5510
Logan,20823
Mesa,158636
Moffat,13177
Montezuma,26468
Montrose,43811
Morgan,29239
Otero,18303
Ouray,5100
Park,17939
Phillips,4449
Pitkin,16876
Prowers,11854
Pueblo,169544
Rio Blanco,6569
Rio Grande,11325
Routt,25007
Saguache,6623
San Miguel,8003
Sedgwick,2295
Summit,30565
Teller,24857
Washington,4812
Weld,350176
Yuma,9899
