"County","DEM","REP"
"Adams","92716","57832"
"Alamosa","2862","2635"
"Arapahoe","127587","84433"
"Archuleta","1895","4080"
"Baca","307","1295"
"Bent","582","1070"
"Boulder","92634","25059"
"Broomfield","15144","10453"
"Chaffee","3900","4059"
"Cheyenne","95","767"
"Clear Creek","1969","1646"
"Conejos","2007","1781"
"Costilla","1471","402"
"Crowley","360","980"
"Custer","471","2036"
"Delta","3024","9590"
"Denver","192042","41586"
"Dolores","200","775"
"Douglas","50670","91743"
"Eagle","8905","6265"
"El Paso","86263","146945"
"Elbert","2224","10890"
"Fremont","4406","12291"
"Garfield","8267","9577"
"Gilpin","1256","1035"
"Grand","2276","3669"
"Gunnison","3468","2398"
"Hinsdale","79","324"
"Huerfano","1655","1338"
"Jackson","68","610"
"Jefferson","121115","93826"
"Kiowa","72","578"
"Kit Carson","437","2552"
"La Plata","10329","9798"
"Lake","1601","777"
"Larimer","66621","62250"
"Las Animas","3289","2561"
"Lincoln","302","1695"
"Logan","1437","5965"
"Mesa","15360","40722"
"Mineral","203","308"
"Moffat","642","4129"
"Montezuma","3171","7430"
"Montrose","3990","12380"
"Morgan","2816","6849"
"Otero","3065","4055"
"Ouray","1034","1077"
"Park","2543","4788"
"Phillips","303","1463"
"Pitkin","4681","1738"
"Prowers","1131","2938"
"Pueblo","37379","26311"
"Rio Blanco","214","2594"
"Rio Grande","1914","2708"
"Routt","5339","3974"
"Saguache","1489","867"
"San Juan","186","100"
"San Miguel","2114","771"
"Sedgwick","218","864"
"Summit","6208","3381"
"Teller","2490","7925"
"Washington","202","2061"
"Weld","42125","69565"
"Yuma","562","2997"
"Total","1053385","929561"
